Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TEAM,Atlassian Corporation Class A Common Stock,$158.32,2.54,1.631%,40575415152.00,Australia,2015,2173704,Technology,EDP Services
TECH,Bio-Techne Corp Common Stock,$71.82,-0.15,-0.208%,11295504864.00,United States,,987005,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TER,Teradyne Inc. Common Stock,$102.73,1.44,1.422%,16000828879.00,United States,,1749117,Industrials,Electrical Products
TMUS,T-Mobile US Inc. Common Stock,$139.73,0.22,0.158%,170384401960.00,United States,,6706143,Telecommunications,Telecommunications Equipment
TRMB,Trimble Inc. Common Stock,$47.68,-0.60,-1.243%,11774656913.00,United States,1990,1599743,Industrials,Industrial Machinery/Components
TROW,T. Rowe Price Group Inc. Common Stock,$106.64,1.61,1.533%,23929901255.00,United States,1986,4172128,Finance,Investment Managers
TSCO,Tractor Supply Company Common Stock,$227.93,0.69,0.304%,25177887433.00,United States,1994,798806,Consumer Discretionary,Other Specialty Stores
TSLA,Tesla Inc. Common Stock,$174.48,1.04,0.60%,552072639270.00,United States,2010,167549002,Consumer Discretionary,Auto Manufacturing
TTD,The Trade Desk Inc. Class A Common Stock,$54.25,0.90,1.687%,26625617792.00,United States,2016,3518130,Technology,EDP Services
TTWO,Take-Two Interactive Software Inc. Common Stock,$111.33,0.75,0.678%,18778535314.00,United States,1997,1215408,Technology,Computer Software: Prepackaged Software
TW,Tradeweb Markets Inc. Class A Common Stock,$67.36,-1.04,-1.52%,14011596374.00,United States,2019,929893,Finance,Investment Bankers/Brokers/Service
TXN,Texas Instruments Incorporated Common Stock,$173.89,2.25,1.311%,157580125693.00,United States,,5453391,Technology,Semiconductors
UAL,United Airlines Holdings Inc. Common Stock,$48.83,-2.14,-4.199%,15971951044.00,United States,,11884801,Consumer Discretionary,Air Freight/Delivery Services
ULTA,Ulta Beauty Inc. Common Stock,$513.68,-7.50,-1.439%,26136434447.00,United States,2007,774439,,
UTHR,United Therapeutics Corporation Common Stock,$224.72,-4.05,-1.77%,10242053103.00,United States,1999,646800,Health Care,Biotechnology: Pharmaceutical Preparations
VEON,VEON Ltd. ADS,$15.70,-0.46,-2.847%,27461300243.00,Netherlands,,48827,Telecommunications,Telecommunications Equipment
VOD,Vodafone Group Plc American Depositary Shares,$11.58,-0.20,-1.698%,31387797282.00,United Kingdom,,9053492,Telecommunications,Telecommunications Equipment
VRSK,Verisk Analytics Inc. Common Stock,$180.96,0.82,0.455%,28299963432.00,United States,2009,1713328,Consumer Discretionary,Business Services
VRSN,VeriSign Inc. Common Stock,$191.26,0.06,0.031%,20059216257.00,United States,1998,492551,Technology,EDP Services
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$293.46,6.22,2.165%,75446054276.00,United States,1991,1355034,Health Care,Biotechnology: Pharmaceutical Preparations
VTRS,Viatris Inc. Common Stock,$9.83,-0.17,-1.70%,11920689598.00,United States,,12335514,Health Care, Medicinal Chemicals and Botanical Products 
WBA,Walgreens Boots Alliance Inc. Common Stock,$33.57,0.31,0.932%,28954244308.00,United States,,8900521,Consumer Staples,Retail-Drug Stores and Proprietary Stores
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,$14.02,-0.33,-2.30%,34046112130.00,United States,,23223570,Telecommunications,Cable & Other Pay Television Services
