Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ENPH,Enphase Energy Inc. Common Stock,$211.53,1.31,0.623%,28873298830.00,United States,2012,3146441,Technology,Electrical Products
ENTG,Entegris Inc. Common Stock,$79.63,0.46,0.581%,11867623924.00,United States,2000,1655788,Technology,Semiconductors
EQIX,Equinix Inc. Common Stock REIT,$682.70,17.07,2.564%,63316815565.00,United States,2000,435841,Real Estate,Real Estate Investment Trusts
ERIC,Ericsson American Depositary Shares,$5.47,0.06,1.109%,18215049096.00,Sweden,,18083157,Technology,Computer Software: Prepackaged Software
ERIE,Erie Indemnity Company Class A Common Stock,$224.10,-2.71,-1.195%,11718159419.00,United States,,67119,Finance,Specialty Insurers
ETSY,Etsy Inc. Common Stock,$103.71,-2.27,-2.142%,13035135252.00,United States,2015,5645623,Consumer Discretionary,Catalog/Specialty Distribution
EVRG,Evergy Inc. Common Stock,$58.89,1.33,2.311%,13517397713.00,United States,,1628011,Utilities,Power Generation
EXAS,Exact Sciences Corporation Common Stock,$63.54,1.55,2.50%,11290043838.00,United States,2001,3173802,Health Care,Biotechnology: Commercial Physical & Biological Resarch
EXC,Exelon Corporation Common Stock,$41.39,1.21,3.011%,41146913674.00,United States,,10910911,Utilities,Power Generation
EXPD,Expeditors International of Washington Inc. Common Stock,$107.75,0.36,0.335%,17146945376.00,United States,,2014354,Consumer Discretionary,Oil Refining/Marketing
EXPE,Expedia Group Inc. Common Stock,$95.00,-3.29,-3.347%,14568091730.00,United States,,3798493,Consumer Discretionary,Other Consumer Services
FANG,Diamondback Energy Inc. Common Stock,$131.54,-4.37,-3.215%,23929569619.00,United States,2012,2957314,Energy,Oil & Gas Production
FAST,Fastenal Company Common Stock,$51.70,0.18,0.349%,29512096345.00,United States,1987,3401026,Basic Materials,Construction Materials
FISV,Fiserv Inc. Common Stock,$104.25,-7.58,-6.778%,66201676923.00,United States,1986,9819485,Consumer Discretionary,Business Services
FITB,Fifth Third Bancorp Common Stock,$26.25,-4.12,-13.566%,17938882500.00,United States,,48238216,Finance,Major Banks
FIVE,Five Below Inc. Common Stock,$195.78,-0.26,-0.133%,10868470228.00,United States,2012,980374,Consumer Discretionary,Department/Specialty Retail Stores
FOX,Fox Corporation Class B Common Stock,$29.73,-0.78,-2.557%,15892515982.00,United States,,1949623,Industrials,Broadcasting
FOXA,Fox Corporation Class A Common Stock,$32.28,-0.86,-2.595%,17255648028.00,United States,,3687481,Industrials,Broadcasting
FSLR,First Solar Inc. Common Stock,$203.58,-4.15,-1.998%,21702770084.00,United States,2006,3131609,Technology,Semiconductors
FTNT,Fortinet Inc. Common Stock,$59.27,0.51,0.868%,46730345674.00,United States,2009,4772292,Technology,Security Systems Services
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,$61.70,0.41,0.669%,14426822089.00,United States,,322254,Consumer Discretionary,Movies/Entertainment
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,$68.49,0.44,0.647%,16014473985.00,United States,,1002790,Consumer Discretionary,Movies/Entertainment
GEHC,GE HealthCare Technologies Inc. Common Stock ,$76.24,1.27,1.694%,34667090705.00,United States,,2272114,Technology,Computer Software: Prepackaged Software
GEN,Gen Digital Inc. Common Stock,$16.42,-0.19,-1.144%,10494505897.00,United States,,6453146,Technology,Computer Software: Prepackaged Software
GFS,GlobalFoundries Inc. Ordinary Shares,$64.05,-0.15,-0.234%,34911954216.00,United States,2021,1066878,Technology,Semiconductors
GILD,Gilead Sciences Inc. Common Stock,$79.51,0.01,0.013%,99148970000.00,United States,1992,6845391,Health Care,Biotechnology: Pharmaceutical Preparations
GLPI,Gaming and Leisure Properties Inc. Common Stock,$50.43,-0.07,-0.139%,12986578528.00,United States,,1807872,Real Estate,Real Estate Investment Trusts
